German,English,Frequency
kaum,barely,25058
irgendwas,anything,24950
klingt,sounds,24910
platz,place,24820
brauchst,need,24773
rede,speech,24754
papa,father,24707
falsch,not correct,24701
sondern,rather,24687
alten,old,24660
nummer,number,24641
früher,earlier,24599
jungen,boys,24498
wohin,where,24373
außer,except,24306
früh,early,24189
setzen,put,24061
zuerst,first,24005
wahrscheinlich,probably,23968
dürfen,allowed to,23930
jede,each,23900
arsch,ass,23823
telefon,phone,23581
tue,do,23560
kennst,know,23541
willkommen,welcome,23375
plan,plan,23291
großen,huge,23269
retten,rescue,23258
hierher,here,23229
wär,would,23099
bring,bring,23068
fehler,error,22947
wollt,want,22936
dollar,dollar,22913
zehn,ten,22855
allem,all,22790
pass,passport,22790
nächste,next,22714
stunde,hour,22665
hände,hands,22645
gegeben,given,22620
menge,amount,22618
langsam,slowly,22581
bereits,already,22535
wartet,waiting,22512
sechs,six,22454
lieben,love,22407
meines,mine,22280
büro,office,22253
nächsten,next,22247
gebe,give,22215
wochen,weeks,22080
ruf,call,21947
schaffen,create,21929
leider,Unfortunately,21867
scheiß,shit,21719
hölle,hell,21656
trotzdem,Nevertheless,21476
doktor,doctor,21392
tja,tja,21330
new,new,21321
voll,full,21320
film,Movie,21254
überall,all over,21161
hund,dog,21146
geworden,become,21015
direkt,directly,21011
wolltest,wanted,20973
tat,did,20923
denkt,thinks,20863
schiff,ship,20825
neues,new,20814
wem,whom,20802
könig,king,20785
danach,after that,20649
funktioniert,works,20608
hattest,had,20582
lernen,learn,20579
deswegen,therefore,20564
wow,Wow,20470
nennen,call,20467
hm,Hm,20416
feuer,Fire,20404
laufen,to run,20390
alleine,alone,20359
erinnern,recall,20326
völlig,completely,20317
kleines,small,20305
könnt,can,20255
stelle,Job,20224
kumpel,Dude,20189
verlieren,to lose,20125
probleme,problems,20116
spricht,speaks,20030
kaffee,coffee,19999
luft,air,19958
fand,found,19911
i,i,19718
entschuldige,Excuse me,19709
ziehen,pull,19643
verschwinden,disappear,19631
könntest,could,19588
seht,look,19586
aufhören,stop,19532
eigenen,own,19530
richtige,right one,19499
unserem,our,19459
suche,search,19440
zwar,though,19381
groß,big,19362
hol,hol,19339
buch,book,19306
krank,ill,19265
fühle,feel,19176
jedes,each,19154
verstehst,understand,19139
wert,value,19128
arzt,doctor,19080
froh,glad,19077
versuche,tries,18964
straße,road,18963
rufen,call,18953
heiraten,marry,18905
super,Super,18808
sam,sam,18717
lebt,lives,18642
gutes,good,18638
lasse,leave,18636
onkel,uncle,18581
total,total,18569
gebracht,brought,18552
party,party,18531
erklären,to explain,18526
spielt,plays,18526
wahl,choice,18477
vertrauen,trust,18459
damals,back then,18434
tagen,meet,18366
leicht,light,18358
nachdem,after this,18300
gegangen,went,18296
gefühl,feeling,18285
kaufen,to buy,18278
geschafft,made,18271
typen,types,18217
interessiert,Interested,18211
möchten,would like,18138
halte,think,18121
hält,keeps,18118
glaub,think,18114
irgendwo,somewhere,18104
stück,piece,18090
genauso,just like that,18069
kennt,knows,17994
genommen,took,17993
zukunft,future,17963
weniger,Less,17950
cool,cool,17909
licht,light,17780
getroffen,met,17775
himmel,sky,17755
nachricht,message,17710
drüben,over there,17704
passt,fit,17667
sagten,said,17649
kümmern,To take care of,17618
laut,loud,17612
vergiss,forget,17602
angerufen,called,17582
sitzen,to sit,17556
daß,that,17517
erde,earth,17474
großer,greater,17433
schlüssel,key,17425
rest,rest,17407
passieren,happen,17383
eher,rather,17329
gefragt,asked,17247
gefängnis,jail,17175
opfer,Victim,17150
körper,body,17147
solche,such,17138
mist,damn,17132
mr,mr,17083
findet,finds,17000
schreiben,write,16942
böse,evil,16940
gesprochen,spoken,16898
versuch,attempt,16884
vorstellen,imagine,16820
wovon,About what,16791
sobald,as soon as,16778
nochmal,once again,16749
herren,Men's,16748
sex,sex,16739
waffen,weapons,16732
wohnung,flat,16722
weh,sore,16694
heißen,be called,16650
krankenhaus,hospital,16645
bringe,bring,16621
höre,hear,16609
millionen,millions,16605
klasse,class,16595
hart,hard,16572
worden,been,16568
sinn,sense,16557
außerdem,Moreover,16556
verletzt,injured,16552
ändern,to change,16487
erfahren,Experienced,16462
tragen,carry,16425
wenigstens,at least,16418
vorsichtig,carefully,16349
daddy,daddy,16329
stolz,proud,16247
stark,strongly,16208
fällt,falls,16206
möchtest,want,16205
leuten,people,16172
besonders,especially,16170
schöne,lovely,16144
schicken,send,16123
person,person,16074
schätze,wealth,16063
solange,as long as,16060
länger,longer,15996
großartig,Great,15979
lacht,laughs,15975
anrufen,call,15965
stand,was standing,15933
redest,talking about,15893
fühlen,feel,15884
erwartet,expected,15879
boden,ground,15878
boss,boss,15863
stimme,voice,15843
glaubt,believes,15840
still,quiet,15835
sicherheit,security,15829
setz,translated,15786
ma,ma,15762
mund,mouth,15761
kämpfen,fight,15639
wisst,know,15636
lachen,laugh,15635
hörst,hear,15623
zeug,stuff,15621
lustig,funny,15572
umbringen,kill,15552
sollst,shalt,15551
hasse,hate,15536
schlimm,bad,15521
o,O,15521
unglaublich,incredible,15444
wärst,'d,15430
laden,load,15400
führen,to lead,15362
gestorben,died,15359
schauen,watch,15350
meinung,opinion,15337
lesen,read,15312
mörder,killer,15310
frank,frank,15303
ähm,um,15268
geschehen,done,15259
geschäft,business,15254
idiot,idiot,15243
verzeihung,forgiveness,15194
fliegen,to fly,15169
zeig,show,15162
team,team,15159
general,general,15146
mike,mike,15058
aufs,onto,15026
york,York,15009
vorher,before,15005
schluss,Enough,15005
schneller,more quickly,14990
liebt,loves,14978
verdient,earned,14961
mögen,to like,14944
meisten,most,14891
denk,thinking,14888
umgebracht,killed,14878
perfekt,Perfect,14848
versprochen,promised,14822
handy,mobile,14818
hinten,behind,14804
monate,months,14786
erinnere,remember,14769
acht,eight,14757
arbeitet,is working,14747
fallen,fall,14704
rufe,call,14701
nötig,necessary,14694
a,a,14676
mord,murder,14671
heraus,out,14613
tages,day,14578
unmöglich,impossible,14555
liebling,favorite,14521
charlie,charlie,14515
tatsächlich,indeed,14483
folgen,consequences,14452
bitten,ask,14438
behalten,to keep,14372
nähe,neighborhood,14368
arbeite,working,14361
joe,joe,14326
verdammte,damned,14325
plötzlich,suddenly,14269
lebens,life,14235
hole,get,14206
tisch,table,14201
michael,Michael,14165
hörte,heard,14154
jemals,ever,14154
liegen,lie,14099
verkaufen,to sell,14061
gefährlich,dangerous,14049
anfangen,to begin,14033
bekommt,gets,14023
machte,made,13967
ha,Ha,13954
hotel,hotel,13914
hilft,help,13897
werdet,will,13891
meister,master,13869
kampf,struggle,13849
antwort,answer,13848
konnten,could,13846
geschickt,cleverly,13831
jedem,each,13818
obwohl,although,13796
sieben,seven,13791
komisch,funny,13783
gewinnen,win,13778
ihres,their,13762
bezahlt,paid,13728
you,you,13710
voller,full of,13701
unterwegs,on road,13693
dumm,stupid,13687
ärger,trouble,13682
bild,picture,13679
george,George,13673
neu,New,13659
bezahlen,pay,13651
dagegen,on the other hand,13607
seien,are,13594
starb,died,13560
tom,tom,13560
monaten,months,13557
leiche,corpse,13500
niemanden,anyone,13495
auge,eye,13475
arschloch,asshole,13441
verheiratet,married,13411
peter,Peter,13405
zieh,pulling,13387
nimmt,takes,13374
gerettet,saved,13362
agent,agent,13322
traum,dream,13300
entscheidung,decision,13275
schlimmer,worse,13255
regeln,regulate,13246
fenster,window,13233
fangen,to catch,13232
fort,on,13175
ständig,constantly,13119
findest,find,13083
gefahr,danger,13071
absolut,absolutely,13045
mary,mary,13042
augenblick,moment,13032
bescheid,decision,13023
rum,rum,12996
gedanken,thoughts,12995
werd,expectant,12947
ziel,target,12939
benutzt,used,12902
bewegung,Move,12855
jemandem,somebody,12815
wünschte,wish,12812
worte,worte,12811
kamen,came,12804
welcher,which one,12787
zahlen,numbers,12786
anfang,Beginning,12784
legen,lay,12779
erinnerst,remember,12746
anwalt,lawyer,12728
fahr,driving,12721
sitzt,seated,12675
hilf,help,12662
offen,open,12623
schönen,beautiful,12585
monsieur,monsieur,12579
müsste,should,12576
arme,poor,12576
bier,beer,12543
fürs,for,12485
partner,partner,12484
klein,small,12473
david,David,12453
klappe,flap,12451
süß,sweet,12416
herum,around,12404
finger,finger,12399
ehe,marriage,12381
rolle,role,12375
ließ,was,12333
gleiche,same,12325
monat,month,12325
hochzeit,wedding,12310
max,Max,12310
führt,leads,12305
paris,Paris,12301
wach,awake,12280
wozu,what for,12270
arm,poor,12247
geschrieben,written,12221
chef,boss,12195
benutzen,to use,12191
informationen,information,12168
erledigt,done,12166
hoffentlich,hopefully,12163
müsst,need,12162
fühlt,feels,12151
tanzen,to dance,12149
ansehen,look at,12148
darfst,allowed to,12146
zuhause,At home,12137
wunderbar,wonderful,12104
hältst,hold,12043
reise,travel,12030
gewonnen,won,12026
dame,lady,12010
irgendwann,Sometime,11991
chffffff,chffffff,11990
alex,Alex,11988
steckt,plugged,11978
jedenfalls,in any case,11973
schreit,screams,11962
tolle,amazing,11960
rüber,over,11953
tschüss,bye,11927
nennt,is called,11927
raum,room,11906
heiß,hot,11903
foto,photo,11901
kalt,cold,11893
paul,paul,11876
irgendetwas,anything,11872
weile,while,11866
bisher,so far,11864
minute,minute,11833
unbedingt,absolutely,11830
zug,train,11819
sekunden,seconds,11789
wofür,for what,11771
erzähl,tell,11759
nen,nen,11732
beweise,proofs,11714
nahm,took,11707
aller,all,11704
freut,pleased,11693
seele,soul,11638
schießen,shoot,11613
müde,tired,11612
dauert,lasts,11606
magst,like,11603
harry,harry,11596
brief,letter,11573
gelernt,learned,11562
sucht,investigated,11523
bekannt,known,11523
weitere,Further,11505
unfall,accident,11449
dahin,then,11442
kontrolle,control,11436
beispiel,example,11436
lady,lady,11422
dasselbe,the same thing,11414
herzen,heart,11392
schlagen,beat,11391
wütend,angry,11387
weise,wise,11381
damen,Ladies,11371
darin,in this,11359
gottes,god,11340
holt,get,11336
fehlt,is missing,11325
vorsicht,Attention,11286
heiße,name is,11271
beweisen,to prove,11270
gehabt,had,11266
zumindest,at least,11261
vermisst,missing,11248
hübsch,pretty,11244
kriegt,gets,11231
verbindung,connection,11226
tief,deep,11225
richtung,direction,11223
lage,location,11222
sowieso,anyway,11215
kraft,force,11202
normal,normal,11201
lauf,run,11188
ehre,honor,11187
stell,Vice,11179
geschenk,gift,11166
bar,bar,11161
tasche,bag,11149
gelesen,read,11141
gekauft,Bought,11123
wussten,knew,11118
gestohlen,stolen,11108
hunger,hunger,11083
leg,leg,11081
lügen,lying,11069
beziehung,relationship,11054
ben,ben,11045
verschwunden,disappeared,11033
steh,stand,10978
nächstes,next,10971
gearbeitet,worked,10961
preis,price,10954
witz,joke,10935
meinte,said,10934
liste,list,10890
geist,ghost,10882
neben,Next,10880
gesucht,searched,10874
firma,company,10871
süße,sweet,10869
rücken,move,10852
schrecklich,dreadful,10850
letzter,last,10837
verliebt,in love,10825
öffnen,to open,10809
redet,talks,10804
boot,boat,10787
seltsam,strange,10778
versteckt,hidden,10773
fürchte,fear,10771
verschwinde,disappear,10769
erwischt,Caught,10767
verkauft,sold,10764
tante,aunt,10757
erwarten,expect,10755
pferd,horse,10723
wunder,wonder,10720
sauer,angry,10704
vermutlich,presumably,10690
näher,closer,10689
major,major,10686
jung,young,10671
majestät,majesty,10660
aussehen,appearance,10647
ans,ans,10646
de,de,10624
and,and,10618
links,Left,10601
großes,great,10593
welches,which,10579
beschützen,to protect,10577
geboren,born,10558
erreichen,to reach,10556
punkt,Point,10553
kindern,children,10540
kirche,church,10507
verraten,betray,10465
selber,himself,10450
befehl,command,10449
colonel,colonel,10446
fährt,moves,10441
zieht,attracts,10418
geburtstag,birthday,10417
haut,skin,10413
wette,bet,10412
reich,rich,10412
sekunde,second,10410
fahre,ride,10409
schwöre,swear,10398
geredet,spake,10392
james,james,10388
madame,madame,10377
eigene,own,10375
zeiten,times,10374
traurig,Sad,10364
anruf,Call,10355
nachrichten,news,10341
frieden,peace,10335
karte,map,10309
güte,quality,10288
euren,your,10288
diesmal,this time,10282
schade,what a shame,10280
persönlich,personally,10269
kriege,wars,10237
stirbt,dies,10218
bleibe,stay,10159
verändert,changed,10158
sonne,Sun,10157
lieb,dear,10154
nämlich,namely,10147
letztes,last,10140
bekam,got,10138
ruft,calls,10127
professor,professor,10089
gericht,dish,10088
nase,nose,10079
ewig,forever,10062
singen,to sing,10060
bank,Bank,10059
beschäftigt,employed,10058
computer,computer,10052
yeah,yeah,10043
toten,kill,10039
weihnachten,Christmas,10033
offensichtlich,obviously,9998
naja,well,9996
henry,henry,9995
gefühle,emotions,9980
fuß,foot,9974
show,show,9970
überraschung,surprise,9952
geheimnis,secret,9948
fbi,fbi,9947
kontakt,Contact,9905
gold,gold,9897
drogen,drugs,9889
regierung,government,9883
wein,Wine,9882
kriegst,get,9878
ermordet,murdered,9850
fotos,photos,9850
entfernt,away,9841
geschlafen,slept,9823
manche,some,9800
erledigen,take care of,9796
ran,ran,9783
gegenüber,across from,9781
schlaf,sleep,9777
lust,lust,9773
wunderschön,beautiful,9769
witzig,funny,9766
nick,nick,9757
zerstört,destroyed,9755
übrigens,by the way,9753
willen,sake,9752
heim,home,9704
richtigen,right,9700
deines,yours,9680
namens,called,9665
zeigt,shows,9663
geliebt,loved,9662
gehören,belong,9662
brachte,brought,9647
herrn,Mr,9640
blick,view,9627
besuch,visit,9624
schlechte,bad,9581
bewegen,move,9579
haare,hair,9576
antworten,reply,9575
präsident,president,9569
sagtest,told,9558
hoffnung,hope,9525
stecken,stick,9516
lebe,live,9514
rechts,right,9509
interessant,Interesting,9500
entscheiden,decide,9490
miteinander,together,9474
meint,means,9471
liebst,love,9465
indem,by doing,9458
bleibst,stay,9447
kümmere,take care,9445
wohnen,live,9440
weder,neither,9435
möglichkeit,possibility,9434
kaputt,broken,9429
bekomme,get,9421
flugzeug,plane,9419
vergangenheit,past,9406
anderer,another,9405
zweite,second,9403
armee,army,9395
jim,jim,9391
tee,tea,9380
entweder,either,9358
weiss,White,9337
don,Don,9335
detective,detective,9333
aufhalten,stop,9329
stellt,provides,9325
verspreche,promise,9304
überrascht,surprised,9304
sauber,clean,9286
hau,hau,9269
mark,mark,9243
schlag,blow,9240
sheriff,sheriff,9233
untertitel,subtitle,9224
setzt,puts,9222
frag,question,9220
vaters,father,9219
nervös,nervous,9217
gesellschaft,society,9216
verstecken,hide,9212
schuldig,guilty,9210
hals,neck,9204
schützen,protect,9195
besuchen,visit,9177
of,of,9163
passen,fit,9150
überleben,to survive,9139
erhalten,receive,9136
teilen,divide,9104
gebäude,building,9086
schicksal,fate,9078
zeichen,character,9068
richter,judge,9061
besorgt,concerned,9058
küche,kitchen,9052
lief,ran,9047
vergnügen,pleasure,9016
wüsste,know,9010
volk,people,9006
lhr,LHR,8998
herausfinden,find out,8989
königin,queen,8987
soldaten,soldiers,8981
feiern,to celebrate,8969
situation,situation,8967
lag,was,8967
gelassen,calmly,8959
allerdings,Indeed,8953
soweit,so far,8928
gefahren,hazards,8919
verstand,understanding,8919
bord,shelf,8915
schönes,beautiful,8905
jimmy,Jimmy,8905
billy,billy,8897
angefangen,started,8893
lee,lee,8856
fühlst,feel,8854
bob,bob,8852
mussten,had,8848
rat,advice,8842
worauf,whereupon,8837
gebeten,asked,8836
tony,tony,8834
kamera,camera,8821
achtung,Danger,8811
lieutenant,lieutenant,8811
ganzes,whole,8804
schuhe,Shoes,8795
sarah,sarah,8781
glückwunsch,congratulation,8778
niemandem,no one,8778
gibst,give,8777
statt,instead of,8774
übernehmen,take over,8774
gegend,area,8754
wald,Forest,8752
al,al,8751
la,la,8742
nimmst,take,8729
danny,danny,8723
erkennen,detect,8717
glas,Glass,8710
falsche,false,8704
verantwortlich,responsible,8704
jesus,Jesus,8675
stöhnt,moans,8675
herein,in,8674
kleid,dress,8663
zerstören,to destroy,8648
jawohl,Yes,8647
london,London,8643
gegessen,eaten,8640
abendessen,dinner,8629
gesetz,law,8620
gemeinsam,together,8615
geholfen,helped,8597
erster,first,8595
wohnt,lives,8591
schritt,step,8587
guck,peep,8577
nahe,Near,8576
aussieht,looks,8574
beginnen,begin,8570
dachten,thought,8570
band,tape,8567
ungefähr,approximately,8567
aufgabe,task,8559
neun,nine,8548
furchtbar,awful,8547
drinnen,indoors,8545
zuvor,before,8539
charles,charles,8532
freue,look,8531
amerika,America,8518
übrig,left,8515
spur,track,8508
falschen,false,8507
sergeant,sergeant,8499
melden,Report,8495
helfe,help,8477
werfen,throw,8465
bill,bill,8461
haltet,think,8448
erinnert,remind,8447
hängt,hangs,8442
freude,joy,8440
